GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504407011,551,140000,1409.827586,23.04174229,1.974591652,2.072595281,0.170902411,0.891285939,0.56429354,0.425856424,-44045.56213,0.040889274,0.06455763
G24000504407012,341,166500,1603.469208,43.03519062,1.939882698,1.428152493,0.225105415,0.76895494,0.580868584,0.167595111,20314.32031,0,0
G24000504407013,605,120000,1460.616529,36.21818182,1.966115702,1.466115702,0.185118948,0.810665179,0.568341177,0.182808918,-20587.30545,0,0
G24000504407021,1478,173438.5,1411.387686,30.70094723,2.118741543,1.715155616,0.171339105,0.844422678,0.495455663,0.282611998,26448.38755,0,0
G24000504407022,795,147840,1325.608805,26.70566038,1.996855346,1.871698113,0.147328394,0.868868057,0.553661653,0.345346614,-12490.12999,0.182897104,0.288765306
G24000504408001,796,325000,2316.257538,24.84422111,1.887562814,2.198492462,0.424624858,0.880257375,0.605853617,0.476309889,54445.15779,0.000459996,0.00072626
G24000504409001,452,143900,1362.884956,48.81858407,1.671460177,1.550884956,0.157762511,0.733568934,0.709052077,0.21678031,-1971.99056,0,0
G24000504409002,417,166590,1552.410072,35.23980815,1.852517986,1.860911271,0.210813247,0.816651411,0.622589055,0.341023773,-13853.87259,0,0
G24000504410001,967,87000,1228.972079,56.50155119,1.867114788,1.200620476,0.12027842,0.686560282,0.615618443,0.07641135,-7894.822233,0,0
G24000504411011,316,147450,1494.253165,67.00632911,1.53164557,1.594936709,0.194534314,0.622286228,0.775819667,0.23443411,-6077.255766,0.025047242,0.039545594
G24000504411012,515,147150,1359.708738,63.16504854,1.333980583,1.452427184,0.156873443,0.645789312,0.870213343,0.177323226,-1676.844174,0,0
G24000504411021,296,144950,1322.851351,53.07094595,1.391891892,1.550675676,0.146556544,0.707550627,0.84255816,0.216696441,-11430.66029,0.033532758,0.052942868
G24000504411022,396,154950,1311.757576,57.67676768,1.608585859,1.449494949,0.143451241,0.679369656,0.739077314,0.176148129,22791.95015,0.047927916,0.075670522
G24000504411023,370,128000,1319.516216,69.92432432,1.435135135,1.575675676,0.145622993,0.604432316,0.82190762,0.226715225,-13531.19576,0.004910267,0.007752527
G24000504411024,724,121500,1335.069061,55.14226519,1.49378453,1.664364641,0.149976452,0.694877147,0.793899969,0.262257447,-35014.35158,0,0
G24000504501001,664,115000,1254.40512,67.82680723,1.639307229,1.40813253,0.127397485,0.617266089,0.724406516,0.159572084,140.6969824,0.005310861,0.008385
G24000504501002,381,115000,1299.698163,75.31233596,1.44488189,1.422572178,0.140075642,0.571465475,0.817253118,0.165358793,-10488.7656,0.135620952,0.214123814
G24000504501003,361,125000,1368.889197,61.4099723,1.367036011,1.55401662,0.159443182,0.656527841,0.85442793,0.218035329,-30255.71245,0.009503891,0.015005125
G24000504502001,465,120000,1308.974194,69.94623656,1.47311828,1.417204301,0.142672133,0.604298245,0.803769007,0.163207608,-8467.886929,0.030346004,0.047911492
G24000504502002,420,123100,1374.469048,76.30952381,1.502380952,1.469047619,0.161005061,0.565364127,0.789794801,0.183983888,-7103.193978,0,0
G24000504502003,604,88750,1085.692053,72.64403974,1.833609272,1.399006623,0.080172333,0.58779159,0.631618793,0.155914864,4191.362424,0,0
G24000504503001,732,125000,1391.459016,51.39617486,1.716530055,1.598360656,0.165760791,0.717797804,0.687529239,0.235806261,-21340.80856,0,0
G24000504503002,486,125000,1346.485597,78.07407407,1.447530864,1.495884774,0.153172101,0.55456763,0.815988117,0.194738914,-6529.727674,0,0
G24000504504001,258,116750,1283.546512,54.99612403,1.583333333,1.682170543,0.135554569,0.69577132,0.751136499,0.269393186,-31220.04726,0,0
G24000504504002,622,111900,1251.827974,76.76366559,1.45096463,1.432475884,0.126676106,0.562585436,0.814348344,0.169327716,-8720.562779,0,0
G24000504505011,358,120125,1339.952514,69.20949721,1.484636872,1.505586592,0.151343399,0.608806025,0.798268376,0.19862693,-16263.32281,0,0
G24000504505012,605,110000,1144.730579,69.24297521,1.280165289,1.332231405,0.096698044,0.608601188,0.895912499,0.129154606,-12091.98143,0,0
G24000504505013,316,123725,1181.78481,65.19303797,1.280063291,1.452531646,0.107070042,0.633380949,0.895961207,0.177365089,-12132.18943,0,0
G24000504505031,165,83400,1110.545455,53.67272727,1.978787879,1.139393939,0.087129148,0.703868595,0.562289658,0.051874733,6694.090732,0.020290907,0.0320361
G24000504505032,549,82900,1153.967213,56.81602914,2,1.169398907,0.099283507,0.684636132,0.552159943,0.063899264,4567.166734,0,0
G24000504505033,75,76500,1152,57.64,2,1.266666667,0.098732857,0.679594621,0.552159943,0.102879449,-7049.873694,0,0
G24000504505041,378,79750,1035.256614,62.75661376,2,1.187830688,0.066054747,0.648288343,0.552159943,0.071285825,14811.14175,0,0
G24000504505042,72,85800,1094.638889,64.31944444,2,1.180555556,0.082676678,0.638726078,0.552159943,0.068370306,17662.50423,0,0
G24000504508001,193,349990,2070.632124,14.40414508,2.160621762,2.481865285,0.355870862,0.944135546,0.475456027,0.589871928,90588.64289,0,0
G24000504508002,830,96519.5,1206.628916,48.44216867,1.793373494,1.269879518,0.114024256,0.735872052,0.650833136,0.104167004,-11811.28726,0,0
G24000504508003,215,133000,1221.92093,55.00930233,1.444186047,1.590697674,0.118304705,0.695690688,0.817585414,0.232735311,-12769.28113,0,0
G24000504509001,428,156596,1636.654206,52.24299065,1.418224299,1.66588785,0.234394361,0.712616516,0.829983284,0.262867875,-31861.72689,0,0
G24000504509002,1044,154000,1561.999042,34.68869732,1.777298851,1.847701149,0.213497334,0.820023413,0.658509481,0.335729799,-31488.51425,0,0
G24000504510001,252,159500,1931.93254,47.04761905,1.511904762,1.841269841,0.317046905,0.744404679,0.785246766,0.333152443,-62581.61354,0,0
G24000504510002,188,192500,1888.207447,55.33510638,1.531914894,1.707446809,0.304807638,0.693697238,0.775691053,0.279522683,-9815.493455,0,0
